id,source_url,local_path,filename,alt,role,content_type,used_on_source_pages,status
image-105,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/seo/dogpark_2025-10-30-15-20-52.jpg.370x370.jpg,/assets/source/dog-park-ce449a93.jpg,dog-park-ce449a93.jpg,Dog Park,img,image/jpeg,https://www.woodscrossingslc.com/pet-friendly,downloaded
image-106,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/seo/dogpark_2025-10-30-15-20-52.jpg.370x370.webp,/assets/source/dogpark-2025-10-30-15-20-52-1357e659.370x370.webp,dogpark-2025-10-30-15-20-52-1357e659.370x370.webp,,source,image/webp,https://www.woodscrossingslc.com/pet-friendly,downloaded
image-107,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/seo/home-1_2025-12-05-11-22-22.jpg.640x360.jpg,/assets/source/home-1-2025-12-05-11-22-22-9db7b56c.jpg,home-1-2025-12-05-11-22-22-9db7b56c.jpg,,source,image/jpeg,https://www.woodscrossingslc.com/ | https://www.woodscrossingslc.com/frequently-asked-questions | https://www.woodscrossingslc.com/virtual-tours,downloaded
image-108,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/seo/home-1_2025-12-05-11-22-22.jpg.640x360.webp,/assets/source/home-1-2025-12-05-11-22-22-738449d6.640x360.webp,home-1-2025-12-05-11-22-22-738449d6.640x360.webp,,source,image/webp,https://www.woodscrossingslc.com/ | https://www.woodscrossingslc.com/frequently-asked-questions | https://www.woodscrossingslc.com/virtual-tours,downloaded
image-109,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/seo/home-1_2025-12-05-11-22-22.jpg.800x450.jpg,/assets/source/woods-crossing-apartments-87d4d125.jpg,woods-crossing-apartments-87d4d125.jpg,Woods Crossing Apartments,img,image/jpeg,https://www.woodscrossingslc.com/ | https://www.woodscrossingslc.com/frequently-asked-questions | https://www.woodscrossingslc.com/virtual-tours,downloaded
image-110,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/seo/home-1_2025-12-05-11-22-22.jpg.800x450.webp,/assets/source/home-1-2025-12-05-11-22-22-93d5582d.800x450.webp,home-1-2025-12-05-11-22-22-93d5582d.800x450.webp,,source,image/webp,https://www.woodscrossingslc.com/ | https://www.woodscrossingslc.com/frequently-asked-questions | https://www.woodscrossingslc.com/virtual-tours,downloaded
image-111,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/seo/home-3_2025-12-05-11-22-22.jpg.1280x720.jpg,/assets/source/woods-crossing-apartments-a-great-place-to-live-3cbfd1e8.jpg,woods-crossing-apartments-a-great-place-to-live-3cbfd1e8.jpg,"Woods Crossing Apartments, a great place to live",img,image/jpeg,https://www.woodscrossingslc.com/ | https://www.woodscrossingslc.com/frequently-asked-questions | https://www.woodscrossingslc.com/virtual-tours,downloaded
image-112,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/seo/home-3_2025-12-05-11-22-22.jpg.1280x720.webp,/assets/source/home-3-2025-12-05-11-22-22-b639acf6.1280x720.webp,home-3-2025-12-05-11-22-22-b639acf6.1280x720.webp,,source,image/webp,https://www.woodscrossingslc.com/ | https://www.woodscrossingslc.com/frequently-asked-questions | https://www.woodscrossingslc.com/virtual-tours,downloaded
image-113,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/seo/home-3_2025-12-05-11-22-22.jpg.640x360.jpg,/assets/source/home-3-2025-12-05-11-22-22-9cdabf81.jpg,home-3-2025-12-05-11-22-22-9cdabf81.jpg,,source,image/jpeg,https://www.woodscrossingslc.com/ | https://www.woodscrossingslc.com/frequently-asked-questions | https://www.woodscrossingslc.com/virtual-tours,downloaded
image-114,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/seo/home-3_2025-12-05-11-22-22.jpg.640x360.webp,/assets/source/home-3-2025-12-05-11-22-22-fa600ba8.640x360.webp,home-3-2025-12-05-11-22-22-fa600ba8.640x360.webp,,source,image/webp,https://www.woodscrossingslc.com/ | https://www.woodscrossingslc.com/frequently-asked-questions | https://www.woodscrossingslc.com/virtual-tours,downloaded
image-115,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/seo/pet-3_2025-10-30-15-20-52.jpg.370x370.jpg,/assets/source/nearby-veterinary-hospitals-291f509d.jpg,nearby-veterinary-hospitals-291f509d.jpg,NEARBY VETERINARY HOSPITALS,img,image/jpeg,https://www.woodscrossingslc.com/pet-friendly,downloaded
image-116,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/seo/pet-3_2025-10-30-15-20-52.jpg.370x370.webp,/assets/source/pet-3-2025-10-30-15-20-52-e85f77c5.370x370.webp,pet-3-2025-10-30-15-20-52-e85f77c5.370x370.webp,,source,image/webp,https://www.woodscrossingslc.com/pet-friendly,downloaded
image-117,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/seo/residents-pets_2025-10-31-10-28-09.jpg.800x600.jpg,/assets/source/woman-with-dog-c4b1254b.jpg,woman-with-dog-c4b1254b.jpg,Woman with dog,img,image/jpeg,https://www.woodscrossingslc.com/residents,downloaded
image-118,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/seo/residents-pets_2025-10-31-10-28-09.jpg.800x600.webp,/assets/source/residents-pets-2025-10-31-10-28-09-e563991b.800x600.webp,residents-pets-2025-10-31-10-28-09-e563991b.800x600.webp,,source,image/webp,https://www.woodscrossingslc.com/residents,downloaded
